,name,ufc_record,nickname,height,reach,weight,stance,DOB,SLpM,SApM,Str_Acc_pct,Str_Def_pct,TD_Avg,TD_Acc_pct,TD_Def_pct,Sub_Avg
37,Zarrukh Adashev, 4-3-0,THE LION," 5' 5"""," 65""",125, Southpaw," Jul 29, 1992",3.54,2.91,39.0,65.0,0.0,0.0,100.0,0.5
38,Israel Adesanya, 21-1-0,THE LAST STYLEBENDER," 6' 4"""," 80""",185, Switch," Jul 22, 1989",3.94,2.59,50.0,62.0,0.0,0.0,80.0,0.2
39,Sam Adkins, 7-20-2,THE EXPERIENCE," 6' 3""", --,225, Orthodox," Apr 26, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Nick Agallar, 24-6-0,," 5' 8""", --,155, Orthodox," Jan 13, 1979",0.69,4.56,11.0,42.0,0.0,0.0,0.0,0.0
41,Mariya Agapova, 9-2-0,," 5' 6"""," 68""",125, Southpaw," Apr 07, 1997",3.7,4.15,50.0,47.0,1.23,66.0,33.0,0.6
42,Marcelo Aguiar, 2-3-1,," 5' 10""", --,170, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Fabio Aguiar, 17-1-0,," 6' 0""", --,185,," Feb 10, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Edwin Aguilar, 26-19-0 (1 NC),TIGRE," 5' 10""", --,185,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jessica Aguilar, 20-8-0,JAG," 5' 3"""," 63""",115, Orthodox," May 08, 1982",4.93,7.19,50.0,53.0,0.94,25.0,50.0,0.2
46,Kevin Aguilar, 17-5-0,ANGEL OF DEATH," 5' 7"""," 73""",155, Orthodox," Sep 07, 1988",3.96,4.81,40.0,52.0,0.16,16.0,78.0,0.0
47,Christian Aguilera, 14-8-0,THE BEAST," 5' 9"""," 72""",170, Switch," Nov 25, 1991",2.54,4.04,37.0,48.0,0.0,0.0,60.0,0.0
48,Mike Aina, 14-6-1 (1 NC),IRON," 5' 9""", --,155, Orthodox, --,2.87,6.33,33.0,59.0,0.0,0.0,71.0,0.0
49,Hitomi Akano, 18-10-0,GIRLFIGHT MONSTER," 5' 4""", --,135, Southpaw," Jul 27, 1974",0.59,2.58,45.0,55.0,0.0,0.0,8.0,0.5
50,Omari Akhmedov, 21-6-1,WOLVERINE," 6' 0"""," 73""",185, Orthodox," Oct 12, 1987",2.97,2.84,34.0,55.0,2.58,45.0,65.0,0.2
51,Yoshihiro Akiyama, 14-6-0 (2 NC),," 5' 10"""," 75""",170, Orthodox," Jul 29, 1975",3.1,3.62,41.0,57.0,2.29,67.0,92.0,1.0
52,Rostem Akman, 6-2-0,," 5' 10"""," 72""",170, Switch," Dec 19, 1991",1.8,3.97,25.0,57.0,1.0,40.0,87.0,0.0
53,Razak Al-Hassan, 13-5-0,," 6' 2""", --,205, Orthodox," May 14, 1982",3.27,3.14,39.0,60.0,0.65,14.0,57.0,0.0
54,Mostapha Al-Turk, 6-6-0,," 6' 2"""," 77""",245, Orthodox," Jul 14, 1973",1.36,3.61,19.0,53.0,0.0,0.0,0.0,0.0
55,Herdem Alacabek, 5-1-0,," 6' 2"""," 75""",205, Orthodox," Jun 07, 1991",3.84,6.66,65.0,23.0,2.06,50.0,42.0,0.0
56,Javi Alanis, 0-4-0,," 5' 6""", --,135,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Heili Alateng, 14-8-1,THE MONGOLIAN KNIGHT," 5' 5"""," 66""",135, Orthodox," Dec 14, 1991",2.87,5.82,32.0,57.0,2.33,35.0,100.0,0.0
58,Amir Albazi, 14-1-0,THE PRINCE," 5' 5"""," 68""",125, Orthodox," Oct 27, 1993",4.06,3.15,40.0,58.0,2.28,75.0,66.0,0.8
59,Brett Albee, 3-2-0,, --, --,225,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,John Albert, 6-5-0,PRINCE," 5' 8"""," 68""",135, Orthodox," Oct 13, 1986",3.05,2.82,49.0,35.0,0.0,0.0,50.0,6.1
61,Junior Albini, 14-6-0,BABY," 6' 3"""," 74""",264, Orthodox," Mar 15, 1991",3.98,6.08,51.0,52.0,1.54,37.0,100.0,0.0
62,Wes Albritton, 0-1-0,," 5' 10""", --,188, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Aleksandra Albu, 3-2-0,STITCH," 5' 2"""," 63""",115, Orthodox," Jul 14, 1990",4.83,5.56,47.0,38.0,2.27,50.0,77.0,0.4
64,Israel Albuquerque, 0-3-0,, --, --,185, Orthodox, --,0.32,3.34,13.0,25.0,0.0,0.0,0.0,0.0
65,Juan Alcain, 1-2-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Iuri Alcantara, 35-10-0 (1 NC),MARAJO," 5' 9"""," 71""",135, Southpaw," Aug 04, 1980",2.72,2.79,45.0,49.0,1.44,62.0,60.0,0.8
67,Ildemar Alcantara, 21-11-0,MARAJO," 6' 2"""," 78""",185, Orthodox," Nov 18, 1982",1.93,2.63,38.0,50.0,2.0,68.0,81.0,0.9
68,Alfonso Alcarez, 1-3-1,," 5' 3""", --,145,," Jun 10, 1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Gilbert Aldana, 6-2-0,EL PELIGRO," 6' 1""", --,250, Orthodox," Aug 25, 1977",2.91,6.26,54.0,26.0,2.57,40.0,33.0,0.0
70,Irene Aldana, 13-6-0,," 5' 9"""," 68""",135, Orthodox," Mar 26, 1988",5.61,5.94,39.0,60.0,0.22,50.0,84.0,0.1
71,Hector Aldana, 4-3-0,," 5' 11"""," 72""",170, Orthodox," Aug 17, 1988",3.59,5.08,38.0,59.0,0.93,100.0,0.0,0.0
72,Jose Aldo, 29-7-0,," 5' 7"""," 70""",135, Orthodox," Sep 09, 1986",3.45,3.52,45.0,61.0,0.57,56.0,91.0,0.1
73,JJ Aldrich, 9-4-0,," 5' 5"""," 67""",125, Southpaw," Sep 29, 1992",3.76,4.55,41.0,61.0,0.8,40.0,57.0,0.0
74,Jim Alers, 13-3-0 (1 NC),THE BEAST," 5' 9"""," 71""",145, Orthodox," Oct 14, 1986",2.9,4.38,40.0,56.0,2.26,41.0,80.0,0.3
75,John Alessio, 35-17-0 (2 NC),THE NATURAL," 5' 10"""," 72""",155, Orthodox," Jul 05, 1979",2.1,2.91,39.0,54.0,1.85,38.0,70.0,1.2
76,Houston Alexander, 17-15-1 (2 NC),THE ASSASSIN," 6' 0"""," 72""",205, Orthodox," Mar 22, 1972",3.06,3.2,54.0,52.0,1.19,57.0,33.0,0.0
77,Kenneth Alexander, 7-6-0 (1 NC),THE MACHINE," 5' 9""", --,155, Orthodox," Sep 25, 1977",0.88,2.2,19.0,66.0,4.71,26.0,0.0,0.0
78,Marcio Alexandre Junior, 17-4-0,LYOTO," 6' 0"""," 75""",185, Southpaw," May 05, 1989",1.61,2.89,45.0,42.0,0.35,20.0,66.0,0.7
79,Olaf Alfonso, 8-12-0,," 6' 2""", --,170, Orthodox," Aug 06, 1974",1.65,4.77,38.0,53.0,0.37,7.0,22.0,0.7
80,Pablo Alfonso, 9-7-0,THE HURRICANE," 5' 8""", --,145,," May 09, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Levi Alford, 1-7-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Bill Algeo, 14-6-0,SENOR PERFECTO," 6' 0"""," 73""",145, Switch," Jun 09, 1989",6.37,4.87,53.0,40.0,0.5,28.0,55.0,0.0
83,Royce Alger, 3-2-0,," 5' 10""", --,199, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Amir Aliakbari, 10-1-0,," 6' 3""", --,250,," Jun 10, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Sultan Aliev, 15-3-0,," 5' 11"""," 74""",170, Orthodox," Sep 17, 1984",1.41,2.2,45.0,56.0,1.76,38.0,100.0,0.0
86,John Allan, 13-6-0 (1 NC),," 6' 1"""," 75""",205, Orthodox," Feb 22, 1993",2.95,4.01,43.0,52.0,1.94,71.0,50.0,1.2
87,George Allen, 13-19-2,," 6' 2""", --,205, Open Stance," Jan 13, 1967",0.8,3.1,38.0,43.0,0.0,0.0,50.0,0.0
88,Arnold Allen, 17-1-0,ALMIGHTY," 5' 8"""," 70""",145, Southpaw," Jan 22, 1994",2.96,2.15,40.0,66.0,1.44,50.0,76.0,0.4
89,Brendan Allen, 17-4-0,ALL IN," 6' 2"""," 75""",185, Orthodox," Dec 28, 1995",4.1,4.24,52.0,45.0,1.29,45.0,50.0,1.6
90,Ben Alloway, 18-8-0,BLANCO," 5' 11"""," 76""",170, Orthodox," Feb 19, 1981",1.28,1.9,49.0,59.0,0.62,50.0,26.0,0.0
91,Ricardo Almeida, 13-5-0,BIG DOG," 6' 0"""," 74""",170, Orthodox," Nov 29, 1976",2.02,1.2,49.0,61.0,3.74,38.0,31.0,1.2
92,Magno Almeida, 10-3-0 (1 NC),," 6' 0""", --,155,," Jun 06, 1985",1.67,2.6,36.0,41.0,0.0,0.0,40.0,5.0
93,Thomas Almeida, 22-5-0,THOMINHAS," 5' 7"""," 70""",145, Southpaw," Jul 31, 1991",4.84,4.93,43.0,61.0,0.17,14.0,75.0,0.0
94,Ericka Almeida, 7-3-0,," 5' 6""", --,115, Orthodox," Mar 05, 1989",1.07,3.33,39.0,43.0,0.5,33.0,37.0,0.0
95,Estefani Almeida, 7-3-0,," 5' 4""", --,125, Orthodox," Oct 17, 1988",3.13,6.07,37.0,42.0,0.0,0.0,0.0,0.0
96,Jailton Almeida, 0-0-0,GAFANHOTO DESTRUIDOR," 5' 2""", --,135,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Lucas Almeida, 12-0-0,," 5' 11""", --,155,," Jan 13, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Mauricio Alonso, 13-7-0 (1 NC),," 6' 2""", --,170,," Feb 27, 1980",5.74,1.91,34.0,67.0,0.0,0.0,0.0,0.0
99,Sarah Alpar, 9-5-0,TOO SWEET," 5' 4"""," 63""",135, Southpaw," Jun 01, 1991",2.11,4.76,54.0,32.0,2.69,28.0,50.0,0.7
100,Ali AlQaisi, 8-5-0,THE ROYAL FIGHTER," 5' 6"""," 68""",135, Orthodox," Sep 23, 1990",2.43,1.97,42.0,56.0,3.5,29.0,60.0,1.0
101,Rico Altamirano, 4-3-0,," 5' 10""", --,170,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Victor Altamirano, 9-1-0,EL MAGNIFICO," 5' 6""", --,125,," Jan 23, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Mike Altman, 1-4-0,," 5' 10""", --,185, Orthodox, --,1.56,2.08,20.0,75.0,0.0,0.0,0.0,0.0
104,Sean Alvarez, 4-3-0,," 6' 0""", --,235, Orthodox," Jul 14, 1971",0.89,3.25,37.0,47.0,0.0,0.0,0.0,0.0
105,Eddie Alvarez, 29-6-0 (1 NC),," 5' 9"""," 69""",155, Orthodox," Jan 11, 1984",4.32,4.39,41.0,55.0,2.92,36.0,92.0,0.5
106,Jaime Alvarez, 6-1-0,," 5' 8"""," 69""",125, Orthodox," Mar 08, 1988",2.73,4.53,40.0,56.0,1.0,33.0,50.0,0.0
107,Joel Alvarez, 18-2-0,EL FENOMENO," 6' 3"""," 77""",155, Orthodox," Mar 02, 1994",2.84,3.31,37.0,53.0,0.0,0.0,0.0,1.6
108,Thiago Alves, 23-15-0,PITBULL," 5' 9"""," 70""",170, Orthodox," Oct 03, 1983",3.73,3.42,41.0,62.0,0.71,60.0,63.0,0.3
109,Anthony Alves, 1-4-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Amilcar Alves, 15-12-0,," 6' 0""", --,170, Southpaw," Aug 08, 1988",0.5,2.02,46.0,30.0,0.0,0.0,53.0,0.0
111,Warlley Alves, 15-5-0,," 5' 11"""," 72""",170, Orthodox," Jan 04, 1991",3.07,3.63,48.0,51.0,1.42,52.0,78.0,1.1
112,Rafael Alves, 19-10-0,THE TURN," 5' 8"""," 68""",155, Orthodox," Oct 10, 1990",2.01,3.71,46.0,56.0,0.0,0.0,50.0,1.3
113,Sam Alvey, 33-15-1 (1 NC),SMILE'N," 6' 2"""," 75""",205, Southpaw," May 06, 1986",3.2,3.44,43.0,54.0,0.07,16.0,82.0,0.1
114,Andre Amado, 6-4-1,DIDA," 6' 0""", --,154, Orthodox, --,2.27,5.91,24.0,63.0,0.0,0.0,20.0,0.0
115,Adlan Amagov, 14-2-1,BORZ," 6' 2"""," 76""",170, Orthodox," Oct 30, 1986",3.29,0.82,47.0,78.0,5.84,56.0,100.0,0.0
116,Maiara Amanajas dos Santos, 7-3-0,," 5' 5""", --,115, Southpaw," Jul 11, 1987",5.53,24.47,35.0,33.0,0.0,0.0,100.0,0.0
117,Chris Amarante, 2-0-0,, --, --,185,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Jimmy Ambriz, 17-21-1,THE TITAN," 6' 2""", --,315, Southpaw," Jan 26, 1970",0.83,3.76,29.0,40.0,3.13,57.0,100.0,0.8
119,JJ Ambrose, 28-7-0 (2 NC),," 5' 10""", --,170, Orthodox, --,3.16,6.32,69.0,33.0,0.0,0.0,50.0,0.0
120,Alen Amedovski, 8-2-0,," 5' 10"""," 74""",185, Orthodox," Apr 06, 1988",0.52,3.14,28.0,37.0,0.0,0.0,0.0,0.0
121,Makwan Amirkhani, 16-6-0,MR. FINLAND," 5' 10"""," 72""",145, Southpaw," Nov 08, 1988",1.4,2.52,43.0,52.0,3.61,40.0,57.0,1.1
122,Bertrand Amoussou, 1-1-0,," 5' 8""", --,190, Orthodox, --,6.75,2.01,39.0,83.0,0.0,0.0,0.0,0.0
123,Karl Amoussou, 27-7-2,THE PSYCHO," 5' 11""", --,185, Orthodox," Nov 21, 1985",1.47,2.67,34.0,54.0,0.0,0.0,25.0,1.0
124,Eryk Anders, 14-5-0 (1 NC),YA BOI," 6' 1"""," 75""",185, Southpaw," Apr 21, 1987",3.2,3.96,47.0,51.0,1.47,32.0,76.0,0.1
125,Matt Andersen, 14-8-1,," 6' 2""", --,230, Southpaw," May 29, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Andy Anderson, 0-1-0,THE HAMMER," 5' 6""", --,240,," Jul 16, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Lowell Anderson, 0-1-0,," 5' 6""", --,160, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Corey Anderson, 14-5-0,OVERTIME," 6' 3"""," 79""",205, Orthodox," Sep 22, 1989",4.43,2.22,46.0,59.0,4.89,50.0,83.0,0.0
129,Derek Anderson, 14-3-0 (1 NC),BARBARIC," 6' 0""", --,155,," Feb 02, 1990",3.97,3.08,37.0,61.0,0.34,14.0,60.0,0.0
130,Megan Anderson, 11-5-0,," 6' 0"""," 72""",145, Orthodox," Feb 11, 1990",1.76,3.35,46.0,37.0,0.52,25.0,53.0,0.5
131,Alex Andrade, 10-5-0,EL TORO," 5' 11""", --,200, Orthodox," May 14, 1974",0.2,2.6,36.0,53.0,0.0,0.0,25.0,0.8
132,Jessica Andrade, 21-9-0,BATE ESTACA," 5' 1"""," 62""",115, Orthodox," Sep 25, 1991",6.15,5.2,50.0,52.0,2.97,55.0,66.0,0.4
133,Viscardi Andrade, 19-6-0,," 5' 11"""," 75""",170, Orthodox," Mar 08, 1984",3.26,2.77,42.0,63.0,1.93,50.0,66.0,0.3
134,Jermaine Andre, 14-4-0,," 5' 7""", --,200, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Dylan Andrews, 18-7-0 (1 NC),THE VILLAIN," 6' 1"""," 74""",185, Switch," Nov 15, 1979",2.21,2.72,50.0,46.0,2.83,50.0,57.0,0.4
136,Reese Andy, 7-3-0,RIPTIDE," 6' 0""", --,205, Orthodox," Mar 31, 1973",2.87,3.5,50.0,58.0,0.67,20.0,40.0,0.0
137,Julius Anglickas, 5-1-0,," 6' 3""", --,205, Orthodox," Jul 23, 1991",4.62,1.86,78.0,50.0,4.47,50.0,60.0,1.1
138,Collin Anglin, 8-2-0,," 5' 9"""," 71""",145, Orthodox," Feb 20, 1993",5.18,4.4,54.0,52.0,2.75,80.0,100.0,0.0
139,Chad Anheliger, 10-5-0,," 5' 6""", --,135,," Dec 01, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Yoji Anjo, 0-5-1,MR. 200%," 5' 11""", --,205, Orthodox," Mar 28, 1967",0.0,3.13,0.0,25.0,0.0,0.0,0.0,0.0
141,Magomed Ankalaev, 15-1-0,," 6' 3"""," 75""",205, Orthodox," Jun 02, 1992",3.41,1.78,53.0,65.0,1.18,33.0,85.0,0.0
142,Gadzhimurad Antigulov, 20-8-0,," 5' 11"""," 70""",205, Orthodox," Feb 09, 1987",2.08,4.21,55.0,40.0,5.08,36.0,0.0,1.4
143,Adam Antolin, 12-3-0,CAPTAIN CHAOS," 5' 5"""," 63""",125, Orthodox," Feb 28, 1982",5.73,5.0,52.0,69.0,0.0,0.0,100.0,0.0
144,Angelo Antonio, 1-4-0,, --, --,205, Orthodox, --,1.09,7.64,50.0,50.0,0.0,0.0,0.0,0.0
145,Azunna Anyanwu, 14-5-0,ZULU," 6' 1""", --,251, Orthodox," Aug 05, 1981",2.47,2.47,42.0,69.0,0.65,100.0,0.0,0.0
146,Shinsho Anzai, 10-3-0,ANIMAL," 5' 7"""," 70""",170, Orthodox," Dec 01, 1985",3.23,3.75,58.0,45.0,1.83,16.0,75.0,0.0
147,Shinya Aoki, 39-7-0 (1 NC),TOBIKAN JUDAN," 5' 11""", --,154, Southpaw," May 09, 1983",0.97,1.25,58.0,58.0,2.54,41.0,60.0,4.0
148,Aori Qileng, 18-7-0,THE MONGOLIAN MURDERER," 5' 7"""," 69""",125, Orthodox," Jun 25, 1993",7.73,12.6,44.0,46.0,3.0,75.0,100.0,0.0
149,Josh Appelt, 15-7-0,," 5' 10""", --,255, Southpaw," Jun 19, 1983",1.35,11.5,40.0,32.0,0.0,0.0,33.0,0.0
150,Erik Apple, 10-3-0,," 6' 0""", --,170, Orthodox," Aug 26, 1977",0.0,0.54,0.0,81.0,0.0,0.0,0.0,8.1
151,Kenji Arai, 15-15-5,," 5' 10""", --,145, Southpaw," Oct 05, 1979",8.79,10.29,27.0,39.0,0.0,0.0,0.0,0.0
152,Romie Aram, 7-1-0,," 5' 10""", --,170, Orthodox," Dec 02, 1977",1.8,2.83,35.0,50.0,2.5,62.0,83.0,0.0
153,Felipe Arantes, 18-10-1 (2 NC),SERTANEJO," 5' 8"""," 73""",135, Orthodox," Feb 09, 1988",2.37,2.66,45.0,64.0,0.93,47.0,41.0,0.7
154,Igor Araujo, 25-9-0 (1 NC),," 6' 1"""," 77""",170, Orthodox," Dec 06, 1980",1.52,2.86,42.0,49.0,0.86,15.0,22.0,0.6
155,Viviane Araujo, 10-3-0,VIVI," 5' 4"""," 68""",125, Orthodox," Nov 21, 1986",5.14,5.48,47.0,59.0,2.1,60.0,94.0,0.3
156,Julio Arce, 17-4-0,," 5' 7"""," 70""",145, Southpaw," Oct 27, 1989",4.31,2.94,36.0,67.0,0.52,30.0,93.0,0.5
157,Art Arciniega, 15-7-0,KING ARTHUR," 5' 8""", --,145,," Oct 15, 1981",1.53,2.73,46.0,51.0,0.0,0.0,50.0,1.0
158,Tristan Arenal, 7-4-0,, --, --,155,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Hashem Arkhagha, 6-0-0,CAVACA," 6' 2""", --,185,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Andrei Arlovski, 31-20-0 (2 NC),THE PITBULL," 6' 3"""," 77""",240, Orthodox," Feb 04, 1979",3.62,2.95,44.0,57.0,0.45,36.0,78.0,0.2
161,Joey Armstrong, 5-2-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Austin Arnett, 16-6-0,," 6' 0"""," 72""",145, Orthodox," Oct 22, 1991",4.52,6.38,41.0,62.0,0.44,18.0,57.0,0.2
163,Ricardo Arona, 14-5-0,THE BRAZILIAN TIGER," 5' 11""", --,205, Orthodox," Jul 17, 1978",1.66,1.15,48.0,57.0,2.41,48.0,58.0,1.2
164,Chalid Arrab, 7-3-0,DIE FAUST," 5' 11""", --,205, Orthodox," May 28, 1975",1.56,1.63,34.0,56.0,3.05,75.0,37.0,1.0
165,Akbarh Arreola, 23-11-1,EL CABALLERO," 5' 10"""," 71""",155, Southpaw," Jan 14, 1983",2.32,4.01,45.0,56.0,1.07,100.0,33.0,0.4
166,Matt Arroyo, 3-3-0,NO REGARD," 5' 10"""," 72""",170, Orthodox," Sep 01, 1982",1.62,2.01,47.0,58.0,2.12,36.0,100.0,5.3
