,name,ufc_record,nickname,height,weight,stance,DOB,SLpM,SApM,Str_Acc_pct,Str_Def_pct,TD_Avg,TD_Acc_pct,TD_Def_pct,Sub_Avg
96,Alen Amedovski, 8-2-0,," 5' 10""",185, Orthodox," Apr 06, 1988",0.52,3.14,28.0,37.0,0.0,0.0,0.0,0.0
97,Makwan Amirkhani, 16-5-0,MR. FINLAND," 5' 10""",145, Southpaw," Nov 08, 1988",1.42,2.63,44.0,51.0,3.37,37.0,57.0,1.4
98,Bertrand Amoussou, 1-1-0,," 5' 8""",190, Orthodox, --,6.75,2.01,39.0,83.0,0.0,0.0,0.0,0.0
99,Karl Amoussou, 27-7-2,THE PSYCHO," 5' 11""",185, Orthodox," Nov 21, 1985",1.47,2.67,34.0,54.0,0.0,0.0,25.0,1.0
100,Eryk Anders, 13-5-0 (1 NC),YA BOI," 6' 1""",185, Southpaw," Apr 21, 1987",3.23,4.15,46.0,51.0,1.62,35.0,80.0,0.1
101,Matt Andersen, 14-8-1,," 6' 2""",230, Southpaw," May 29, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Andy Anderson, 0-1-0,THE HAMMER," 5' 6""",240,," Jul 16, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Lowell Anderson, 0-1-0,," 5' 6""",160, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Corey Anderson, 14-5-0,OVERTIME," 6' 3""",205, Orthodox," Sep 22, 1989",4.43,2.22,46.0,59.0,4.89,50.0,83.0,0.0
105,Derek Anderson, 14-3-0 (1 NC),BARBARIC," 6' 0""",155,," Feb 02, 1990",3.97,3.08,37.0,61.0,0.34,14.0,60.0,0.0
106,Megan Anderson, 11-5-0,," 6' 0""",145, Orthodox," Feb 11, 1990",1.76,3.35,46.0,37.0,0.52,25.0,53.0,0.5
107,Alex Andrade, 10-5-0,EL TORO," 5' 11""",200, Orthodox," May 14, 1974",0.2,2.6,36.0,53.0,0.0,0.0,25.0,0.8
108,Jessica Andrade, 21-9-0,BATE ESTACA," 5' 1""",115, Orthodox," Sep 25, 1991",6.15,5.2,50.0,52.0,2.97,55.0,66.0,0.4
109,Viscardi Andrade, 19-6-0,," 5' 11""",170, Orthodox," Mar 08, 1984",3.26,2.77,42.0,63.0,1.93,50.0,66.0,0.3
110,Jermaine Andre, 14-4-0,," 5' 7""",200, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Dylan Andrews, 18-7-0 (1 NC),THE VILLAIN," 6' 1""",185, Switch," Nov 15, 1979",2.21,2.72,50.0,46.0,2.83,50.0,57.0,0.4
112,Reese Andy, 7-3-0,RIPTIDE," 6' 0""",205, Orthodox," Mar 31, 1973",2.87,3.5,50.0,58.0,0.67,20.0,40.0,0.0
113,Julius Anglickas, 5-1-0,," 6' 3""",205, Orthodox," Jul 23, 1991",4.62,1.86,78.0,50.0,4.47,50.0,60.0,1.1
114,Collin Anglin, 8-1-0,," 5' 9""",145, Orthodox," Feb 20, 1993",5.87,3.47,55.0,58.0,3.0,75.0,100.0,0.0
115,Chad Anheliger, 10-5-0,," 5' 6""",135,," Dec 01, 1986",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Yoji Anjo, 0-5-1,MR. 200%," 5' 11""",205, Orthodox," Mar 28, 1967",0.0,3.13,0.0,25.0,0.0,0.0,0.0,0.0
117,Magomed Ankalaev, 15-1-0,," 6' 3""",205, Orthodox," Jun 02, 1992",3.41,1.78,53.0,65.0,1.18,33.0,85.0,0.0
118,Gadzhimurad Antigulov, 20-8-0,," 5' 11""",205, Orthodox," Feb 09, 1987",2.08,4.21,55.0,40.0,5.08,36.0,0.0,1.4
119,Adam Antolin, 12-3-0,CAPTAIN CHAOS," 5' 5""",125, Orthodox," Feb 28, 1982",5.73,5.0,52.0,69.0,0.0,0.0,100.0,0.0
120,Angelo Antonio, 1-4-0,, --,205, Orthodox, --,1.09,7.64,50.0,50.0,0.0,0.0,0.0,0.0
121,Azunna Anyanwu, 14-5-0,ZULU," 6' 1""",251, Orthodox," Aug 05, 1981",2.47,2.47,42.0,69.0,0.65,100.0,0.0,0.0
122,Shinsho Anzai, 10-3-0,ANIMAL," 5' 7""",170, Orthodox," Dec 01, 1985",3.23,3.75,58.0,45.0,1.83,16.0,75.0,0.0
123,Shinya Aoki, 39-7-0 (1 NC),TOBIKAN JUDAN," 5' 11""",154, Southpaw," May 09, 1983",0.97,1.25,58.0,58.0,2.54,41.0,60.0,4.0
124,Aori Qileng, 18-7-0,THE MONGOLIAN MURDERER," 5' 7""",125, Orthodox," Jun 25, 1993",7.73,12.6,44.0,46.0,3.0,75.0,100.0,0.0
125,Josh Appelt, 15-7-0,," 5' 10""",255, Southpaw," Jun 19, 1983",1.35,11.5,40.0,32.0,0.0,0.0,33.0,0.0
126,Erik Apple, 10-3-0,," 6' 0""",170, Orthodox," Aug 26, 1977",0.0,0.54,0.0,81.0,0.0,0.0,0.0,8.1
127,Kenji Arai, 15-15-5,," 5' 10""",145, Southpaw," Oct 05, 1979",8.79,10.29,27.0,39.0,0.0,0.0,0.0,0.0
128,Romie Aram, 7-1-0,," 5' 10""",170, Orthodox," Dec 02, 1977",1.8,2.83,35.0,50.0,2.5,62.0,83.0,0.0
129,Felipe Arantes, 18-10-1 (2 NC),SERTANEJO," 5' 8""",135, Orthodox," Feb 09, 1988",2.37,2.66,45.0,64.0,0.93,47.0,41.0,0.7
130,Igor Araujo, 25-9-0 (1 NC),," 6' 1""",170, Orthodox," Dec 06, 1980",1.52,2.86,42.0,49.0,0.86,15.0,22.0,0.6
131,Viviane Araujo, 10-3-0,VIVI," 5' 4""",125, Orthodox," Nov 21, 1986",5.14,5.48,47.0,59.0,2.1,60.0,94.0,0.3
132,Julio Arce, 16-4-0,," 5' 7""",145, Southpaw," Oct 27, 1989",4.25,2.87,36.0,67.0,0.58,30.0,93.0,0.6
133,Art Arciniega, 15-7-0,KING ARTHUR," 5' 8""",145,," Oct 15, 1981",1.53,2.73,46.0,51.0,0.0,0.0,50.0,1.0
134,Tristan Arenal, 7-4-0,, --,155,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Hashem Arkhagha, 6-0-0,CAVACA," 6' 2""",185,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Andrei Arlovski, 31-20-0 (2 NC),THE PITBULL," 6' 3""",240, Orthodox," Feb 04, 1979",3.62,2.95,44.0,57.0,0.45,36.0,78.0,0.2
137,Joey Armstrong, 5-2-0,, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Austin Arnett, 16-6-0,," 6' 0""",145, Orthodox," Oct 22, 1991",4.52,6.38,41.0,62.0,0.44,18.0,57.0,0.2
139,Ricardo Arona, 14-5-0,THE BRAZILIAN TIGER," 5' 11""",205, Orthodox," Jul 17, 1978",1.66,1.15,48.0,57.0,2.41,48.0,58.0,1.2
140,Chalid Arrab, 7-3-0,DIE FAUST," 5' 11""",205, Orthodox," May 28, 1975",1.56,1.63,34.0,56.0,3.05,75.0,37.0,1.0
141,Akbarh Arreola, 23-11-1,EL CABALLERO," 5' 10""",155, Southpaw," Jan 14, 1983",2.32,4.01,45.0,56.0,1.07,100.0,33.0,0.4
142,Matt Arroyo, 3-3-0,NO REGARD," 5' 10""",170, Orthodox," Sep 01, 1982",1.62,2.01,47.0,58.0,2.12,36.0,100.0,5.3
143,Antonio Arroyo, 9-4-0,," 6' 3""",185, Orthodox," Jul 01, 1989",3.08,1.72,70.0,44.0,1.4,41.0,32.0,0.3
144,Gilles Arsene, 1-1-0,," 5' 9""",190, Southpaw, --,0.06,2.45,10.0,32.0,0.0,0.0,0.0,0.0
145,Veta Arteaga, 3-1-0,," 5' 7""",125,, --,3.2,1.92,36.0,65.0,0.0,0.0,40.0,0.0
146,Cesar Arzamendia, 8-3-0,GOKU," 5' 11""",155, Orthodox," Jan 31, 1991",5.37,5.2,45.0,56.0,7.32,75.0,0.0,2.4
147,Teddy Ash, 14-5-0,BEAR," 6' 1""",185, Switch," Dec 27, 1989",7.27,6.8,61.0,28.0,0.0,0.0,100.0,0.0
148,Arman Ashimov, 11-3-1,MUSTAFA OZTURIK," 5' 6""",125,," Jan 14, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Askar Askar, 11-1-0,AK-47," 5' 7""",145, Orthodox," Aug 19, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Askar Askarov, 13-0-1,BULLET," 5' 6""",125, Orthodox," Oct 09, 1992",3.37,2.65,55.0,56.0,2.75,28.0,64.0,0.0
151,Cyril Asker, 9-4-0,SILVERBACK," 6' 0""",247, Orthodox," Dec 24, 1985",3.35,5.82,39.0,35.0,4.41,62.0,100.0,0.9
152,Khusein Askhabov, 23-0-0,LION," 5' 8""",135,," Feb 13, 1995",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Scott Askham, 14-4-0,," 6' 3""",185, Southpaw," May 20, 1988",3.03,3.52,46.0,52.0,0.44,18.0,65.0,0.7
154,Ben Askren, 19-2-0 (1 NC),FUNKY," 5' 11""",170, Orthodox," Jul 18, 1984",3.64,5.66,49.0,36.0,4.33,55.0,0.0,0.9
155,Ibo Aslan, 8-0-0,THE LAST OTTOMAN," 6' 3""",205,," Apr 23, 1996",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Tom Aspinall, 10-2-0,," 6' 5""",256, Orthodox," Apr 11, 1993",7.43,3.06,66.0,65.0,3.54,100.0,0.0,1.8
157,Bruno Assis, 8-4-0,BRUNAO," 6' 2""",185, Orthodox," May 23, 1992",1.27,3.2,43.0,36.0,2.0,50.0,66.0,1.0
158,Junior Assuncao, 16-6-0,," 5' 9""",145, Orthodox," Jun 24, 1981",3.31,2.06,62.0,44.0,2.43,24.0,66.0,0.7
159,Raphael Assuncao, 27-8-0,," 5' 5""",135, Orthodox," Jul 19, 1982",3.26,2.33,40.0,68.0,1.48,38.0,80.0,0.3
160,Bazigit Atajev, 17-1-0,VOLK," 6' 1""",230, Orthodox, --,0.87,3.14,41.0,49.0,1.0,33.0,0.0,0.0
161,Rich Attonito, 10-5-0,THE RAGING BULL," 5' 10""",170, Orthodox," Jun 16, 1977",2.28,2.13,47.0,59.0,0.74,37.0,75.0,0.0
162,Olivier Aubin-Mercier, 11-5-0,THE CANADIAN GANGSTER," 5' 9""",155, Southpaw," Feb 23, 1989",2.48,2.97,51.0,55.0,2.36,33.0,70.0,0.5
163,Pat Audinwood, 11-2-1,AWESOMELY AWESOME," 6' 0""",155, Orthodox," Apr 16, 1986",1.17,4.31,12.0,41.0,0.8,50.0,0.0,0.0
164,Jose Augusto, 6-2-0 (1 NC),GUGU," 6' 3""",251,," Mar 28, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Marcus Aurelio, 22-10-0,MAXIMUS," 5' 10""",155, Orthodox," Aug 18, 1973",1.42,2.27,33.0,59.0,1.69,27.0,27.0,1.3
166,David Avellan, 2-1-0,," 5' 9""",185, Orthodox, --,3.33,10.0,25.0,57.0,0.0,0.0,0.0,0.0
167,Blas Avena, 8-7-0 (1 NC),THE DISCIPLE," 6' 0""",170, Orthodox," Jun 30, 1983",2.34,3.36,47.0,43.0,2.37,80.0,50.0,1.8
168,Levi Avera, 18-15-0,," 6' 1""",170,," May 17, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Anthony Avila, 13-5-0,," 5' 7""",145,," Dec 29, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Chris Avila, 5-4-0,," 5' 10""",145, Orthodox," Jan 16, 1993",2.37,4.17,30.0,48.0,0.0,0.0,46.0,0.0
171,Julia Avila, 8-2-0,RAGING PANDA," 5' 7""",135, Orthodox," May 11, 1988",3.1,2.9,41.0,54.0,0.49,50.0,60.0,0.0
172,Saad Awad, 20-9-0,ASSASSIN," 5' 11""",155,," Jun 07, 1983",2.13,1.87,26.0,60.0,0.5,16.0,100.0,0.5
173,Javy Ayala, 10-5-0,EYE CANDY," 6' 1""",265,," Aug 20, 1988",0.83,5.0,25.0,33.0,0.0,0.0,0.0,0.0
174,Jessin Ayari, 16-6-0,," 6' 0""",155, Orthodox," May 31, 1992",3.53,3.59,37.0,58.0,0.0,0.0,50.0,0.3
175,Abu Azaitar, 14-3-1,CAPTAIN MOROCCO," 5' 9""",185, Orthodox," Mar 10, 1986",5.21,5.35,44.0,50.0,0.5,25.0,40.0,0.0
176,Ottman Azaitar, 13-0-0,BULLDOZER," 5' 8""",155, Switch," Feb 20, 1990",8.43,1.76,57.0,67.0,0.0,0.0,100.0,0.0
