,name,DOB,ufc_record,weight,stance,nickname,heightIN,reachIN
33,Junior Albini," Mar 15, 1991", 14-6-0,264,Orthodox,BABY,75,74
34,Aleksandra Albu," Jul 14, 1990", 3-2-0,115,Orthodox,STITCH,62,63
35,Iuri Alcantara," Aug 04, 1980", 35-10-0 (1 NC),135,Southpaw,MARAJO,69,71
36,Ildemar Alcantara," Nov 18, 1982", 21-11-0,185,Orthodox,MARAJO,74,78
37,Irene Aldana," Mar 26, 1988", 13-6-0,135,Orthodox,,69,68
38,Hector Aldana," Aug 17, 1988", 4-3-0,170,Orthodox,,71,72
39,Jose Aldo," Sep 09, 1986", 29-7-0,135,Orthodox,,67,70
40,JJ Aldrich," Sep 29, 1992", 9-4-0,125,Southpaw,,65,67
41,Jim Alers," Oct 14, 1986", 13-3-0 (1 NC),145,Orthodox,THE BEAST,69,71
42,John Alessio," Jul 05, 1979", 35-17-0 (2 NC),155,Orthodox,THE NATURAL,70,72
43,Houston Alexander," Mar 22, 1972", 17-15-1 (2 NC),205,Orthodox,THE ASSASSIN,72,72
44,Marcio Alexandre Junior," May 05, 1989", 17-4-0,185,Southpaw,LYOTO,72,75
45,Bill Algeo," Jun 09, 1989", 14-6-0,145,Switch,SENOR PERFECTO,72,73
46,Sultan Aliev," Sep 17, 1984", 15-3-0,170,Orthodox,,71,74
47,John Allan," Feb 22, 1993", 13-6-0 (1 NC),205,Orthodox,,73,75
48,Arnold Allen," Jan 22, 1994", 17-1-0,145,Southpaw,ALMIGHTY,68,70
49,Brendan Allen," Dec 28, 1995", 17-4-0,185,Orthodox,ALL IN,74,75
50,Ben Alloway," Feb 19, 1981", 18-8-0,170,Orthodox,BLANCO,71,76
51,Ricardo Almeida," Nov 29, 1976", 13-5-0,170,Orthodox,BIG DOG,72,74
52,Thomas Almeida," Jul 31, 1991", 22-5-0,145,Southpaw,THOMINHAS,67,70
53,Sarah Alpar," Jun 01, 1991", 9-5-0,135,Southpaw,TOO SWEET,64,63
54,Ali AlQaisi," Sep 23, 1990", 8-5-0,135,Orthodox,THE ROYAL FIGHTER,66,68
55,Eddie Alvarez," Jan 11, 1984", 29-6-0 (1 NC),155,Orthodox,,69,69
56,Jaime Alvarez," Mar 08, 1988", 6-1-0,125,Orthodox,,68,69
57,Joel Alvarez," Mar 02, 1994", 18-2-0,155,Orthodox,EL FENOMENO,75,77
58,Thiago Alves," Oct 03, 1983", 23-15-0,170,Orthodox,PITBULL,69,70
59,Warlley Alves," Jan 04, 1991", 15-5-0,170,Orthodox,,71,72
60,Rafael Alves," Oct 10, 1990", 19-10-0,155,Orthodox,THE TURN,68,68
61,Sam Alvey," May 06, 1986", 33-15-1 (1 NC),205,Southpaw,SMILE'N,74,75
62,Adlan Amagov," Oct 30, 1986", 14-2-1,170,Orthodox,BORZ,74,76
63,Alen Amedovski," Apr 06, 1988", 8-2-0,185,Orthodox,,70,74
64,Makwan Amirkhani," Nov 08, 1988", 16-6-0,145,Southpaw,MR. FINLAND,70,72
65,Eryk Anders," Apr 21, 1987", 14-5-0 (1 NC),185,Southpaw,YA BOI,73,75
66,Corey Anderson," Sep 22, 1989", 14-5-0,205,Orthodox,OVERTIME,75,79
67,Megan Anderson," Feb 11, 1990", 11-5-0,145,Orthodox,,72,72
68,Jessica Andrade," Sep 25, 1991", 21-9-0,115,Orthodox,BATE ESTACA,61,62
69,Viscardi Andrade," Mar 08, 1984", 19-6-0,170,Orthodox,,71,75
70,Dylan Andrews," Nov 15, 1979", 18-7-0 (1 NC),185,Switch,THE VILLAIN,73,74
71,Collin Anglin," Feb 20, 1993", 8-2-0,145,Orthodox,,69,71
72,Magomed Ankalaev," Jun 02, 1992", 15-1-0,205,Orthodox,,75,75
73,Gadzhimurad Antigulov," Feb 09, 1987", 20-8-0,205,Orthodox,,71,70
74,Adam Antolin," Feb 28, 1982", 12-3-0,125,Orthodox,CAPTAIN CHAOS,65,63
75,Shinsho Anzai," Dec 01, 1985", 10-3-0,170,Orthodox,ANIMAL,67,70
76,Aori Qileng," Jun 25, 1993", 18-7-0,125,Orthodox,THE MONGOLIAN MURDERER,67,69
77,Felipe Arantes," Feb 09, 1988", 18-10-1 (2 NC),135,Orthodox,SERTANEJO,68,73
78,Igor Araujo," Dec 06, 1980", 25-9-0 (1 NC),170,Orthodox,,73,77
79,Viviane Araujo," Nov 21, 1986", 10-3-0,125,Orthodox,VIVI,64,68
80,Julio Arce," Oct 27, 1989", 17-4-0,145,Southpaw,,67,70
81,Andrei Arlovski," Feb 04, 1979", 31-20-0 (2 NC),240,Orthodox,THE PITBULL,75,77
82,Austin Arnett," Oct 22, 1991", 16-6-0,145,Orthodox,,72,72
83,Akbarh Arreola," Jan 14, 1983", 23-11-1,155,Southpaw,EL CABALLERO,70,71
84,Matt Arroyo," Sep 01, 1982", 3-3-0,170,Orthodox,NO REGARD,70,72
85,Antonio Arroyo," Jul 01, 1989", 9-4-0,185,Orthodox,,75,73
86,Teddy Ash," Dec 27, 1989", 14-5-0,185,Switch,BEAR,73,73
87,Askar Askar," Aug 19, 1994", 11-1-0,145,Orthodox,AK-47,67,69
88,Askar Askarov," Oct 09, 1992", 13-0-1,125,Orthodox,BULLET,66,67
89,Cyril Asker," Dec 24, 1985", 9-4-0,247,Orthodox,SILVERBACK,72,74
90,Scott Askham," May 20, 1988", 14-4-0,185,Southpaw,,75,75
91,Ben Askren," Jul 18, 1984", 19-2-0 (1 NC),170,Orthodox,FUNKY,71,73
92,Tom Aspinall," Apr 11, 1993", 10-2-0,256,Orthodox,,77,78
93,Junior Assuncao," Jun 24, 1981", 16-6-0,145,Orthodox,,69,72
94,Raphael Assuncao," Jul 19, 1982", 27-8-0,135,Orthodox,,65,66
95,Rich Attonito," Jun 16, 1977", 10-5-0,170,Orthodox,THE RAGING BULL,70,72
96,Olivier Aubin-Mercier," Feb 23, 1989", 11-5-0,155,Southpaw,THE CANADIAN GANGSTER,69,70
97,Marcus Aurelio," Aug 18, 1973", 22-10-0,155,Orthodox,MAXIMUS,70,74
98,Blas Avena," Jun 30, 1983", 8-7-0 (1 NC),170,Orthodox,THE DISCIPLE,72,74
99,Julia Avila," May 11, 1988", 9-2-0,135,Orthodox,RAGING PANDA,67,68
100,Jessin Ayari," May 31, 1992", 16-6-0,155,Orthodox,,72,73
101,Abu Azaitar," Mar 10, 1986", 14-3-1,185,Orthodox,CAPTAIN MOROCCO,69,76
102,Ottman Azaitar," Feb 20, 1990", 13-0-0,155,Switch,BULLDOZER,68,71
103,Hunter Azure," Mar 02, 1992", 9-2-0,145,Orthodox,,68,69
104,Seth Baczynski," Oct 26, 1981", 20-14-0,170,Orthodox,THE POLISH PISTOLA,75,75
105,Ryan Bader," Jun 07, 1983", 23-5-0,205,Orthodox,DARTH,74,74
106,Miguel Baeza," Aug 23, 1992", 10-1-0,170,Orthodox,CARAMEL THUNDER,74,74
107,Ali Bagautinov," Jun 10, 1985", 15-6-0,125,Orthodox,PUNCHER,64,65
108,Melsik Baghdasaryan," Jan 28, 1992", 6-1-0,145,Southpaw,THE GUN,69,70
109,Siyar Bahadurzada," Apr 17, 1984", 24-8-1,170,Orthodox,THE GREAT,71,73
110,Ignacio Bahamondes," Aug 27, 1997", 11-4-0,170,Orthodox,LA JAULA,75,75
111,Shamar Bailey," Sep 22, 1982", 16-11-0,155,Southpaw,,69,75
112,Oluwale Bamgbose," Aug 04, 1987", 6-4-0,185,Switch,HOLY WAR ANGEL,71,78
113,Humberto Bandenay," Sep 04, 1994", 14-7-0 (1 NC),145,Southpaw,,71,71
114,Tae Hyun Bang," Apr 15, 1983", 18-10-0,155,Switch,SUPERNATURAL,69,71
115,Antonio Banuelos," Sep 23, 1979", 20-11-1,135,Orthodox,,65,63
116,Renan Barao," Jan 31, 1987", 34-9-0 (1 NC),145,Orthodox,THE BARON,66,70
117,Maycee Barber," May 18, 1998", 9-2-0,125,Switch,THE FUTURE,65,65
118,Bryan Barberena," May 03, 1989", 15-8-0,170,Southpaw,BAM BAM,72,72
119,Edson Barboza," Jan 21, 1986", 22-9-0,145,Orthodox,JUNIOR,71,75
120,Raoni Barcelos," May 01, 1987", 16-2-0,135,Orthodox,,67,67
121,Luke Barnatt," Apr 13, 1988", 13-4-0,185,Orthodox,THE BIGSLOW,78,77
122,Josh Barnett," Nov 10, 1977", 35-8-0,250,Orthodox,THE WARMASTER,75,78
123,Chris Barnett," Jun 14, 1986", 21-7-0,265,Orthodox,BEASTBOY,69,75
124,Phil Baroni," Apr 16, 1976", 15-18-0,170,Orthodox,THE NEW YORK BAD ASS,69,72
125,Peter Barrett," Aug 10, 1986", 11-5-0,145,Southpaw,SLIPPERY,70,73
126,Marc-Andre Barriault," Feb 18, 1990", 12-4-0 (1 NC),185,Orthodox,POWERBAR,73,74
127,Francimar Barroso," Feb 28, 1980", 19-7-0 (1 NC),205,Orthodox,BODAO,73,75
128,Pat Barry," Jul 07, 1979", 8-7-0,235,Orthodox,HD,71,74
129,Enrique Barzola," Apr 28, 1989", 17-5-2,145,Orthodox,EL FUERTE,67,70
130,Alan Baudot," Feb 01, 1988", 8-3-0,243,Orthodox,THE BLACK SAMOURAI,75,79
131,Mario Bautista," Jul 01, 1993", 8-2-0,135,Switch,,69,69
132,Chris Beal," Aug 06, 1985", 10-5-0,125,Orthodox,REAL DEAL,67,69
133,Ariel Beck," Sep 16, 1990", 4-5-0,125,Southpaw,,66,66
134,Johnny Bedford," Jan 06, 1983", 21-13-1 (1 NC),135,Orthodox,BRUTAL,70,71
135,Chase Beebe," Mar 29, 1985", 24-13-1,135,Orthodox,,67,67
136,Mirsad Bektic," Feb 16, 1991", 13-4-0,145,Orthodox,,68,70
137,Diana Belbita," Jun 26, 1996", 14-6-0,125,Orthodox,THE WARRIOR PRINCESS,67,68
138,Alan Belcher," Apr 24, 1984", 18-8-0,185,Orthodox,THE TALENT,74,75
139,Vitor Belfort," Apr 01, 1977", 26-14-0 (1 NC),185,Southpaw,THE PHENOM,72,74
140,Danilo Belluardo," Jul 21, 1994", 12-5-0,155,Southpaw,CATERPILLAR,72,74
141,Joey Beltran," Dec 08, 1981", 17-14-0 (1 NC),185,Orthodox,THE MEXICUTIONER,73,75
142,Marco Beltran," May 18, 1986", 8-6-0,125,Orthodox,PSYCHO,68,69
143,Joseph Benavidez," Jul 31, 1984", 28-8-0,125,Southpaw,,64,65
144,Gabriel Benitez," Jun 15, 1988", 22-10-0,155,Southpaw,MOGGLY,68,71
145,DeAnna Bennett," Nov 18, 1984", 8-3-1,125,Orthodox,THE ARGENTINE ASSASSIN,64,68
146,Lance Benoist," Aug 26, 1988", 7-2-0,170,Southpaw,,71,72
147,Ryan Benoit," Aug 25, 1989", 10-8-0,125,Orthodox,BABY FACE,65,68
148,Kenneth Bergh," Jun 26, 1989", 8-0-0 (1 NC),205,Orthodox,,74,74
149,Dennis Bermudez," Dec 13, 1986", 17-9-0,155,Orthodox,THE MENACE,66,66
150,Manny Bermudez," Jul 16, 1994", 14-2-0,145,Orthodox,THE BERMUDEZ TRIANGLE,70,71
151,Talita Bernardo," Mar 04, 1987", 6-4-0,135,Orthodox,,64,68
152,Matt Bessette," Dec 28, 1984", 22-9-0 (1 NC),145,Orthodox,THE MANGLER,70,70
153,Khadzhi Bestaev," Jul 16, 1988", 10-4-0,185,Unknown,BEST,78,76
154,Arjan Bhullar," May 13, 1986", 9-1-0,245,Orthodox,,73,75
155,KB Bhullar," Oct 12, 1991", 8-2-0,185,Switch,THE BENGAL,76,78
156,Bibulatov Magomed," Aug 22, 1988", 14-2-0,125,Orthodox,CHABORZ,65,65
157,David Bielkheden," Jun 06, 1979", 24-12-0,155,Orthodox,,70,71
158,Anthony Birchak," May 16, 1986", 16-8-0,135,Orthodox,EL TORO,68,69
159,Michael Bisping," Feb 28, 1979", 30-9-0,185,Orthodox,THE COUNT,73,75
160,Jan Blachowicz," Feb 24, 1983", 28-8-0,205,Orthodox,,74,78
161,Brad Blackburn," May 25, 1977", 18-13-1 (1 NC),170,Orthodox,BAD BRAD,70,73
162,Sherrard Blackledge," Aug 16, 1993", 5-1-0,155,Orthodox,THE THRILLER,71,75
163,Erin Blanchfield," May 04, 1999", 6-1-0,135,Orthodox,COLD BLOODED,64,66
164,Maximo Blanco," Oct 16, 1983", 12-8-1 (1 NC),145,Orthodox,MAXI,68,71
165,Curtis Blaydes," Feb 18, 1991", 14-3-0 (1 NC),265,Orthodox,RAZOR,76,80
166,Mark Bocek," Oct 24, 1981", 12-5-0,155,Orthodox,,68,75
167,Kyle Bochniak," Feb 05, 1987", 8-5-0,145,Orthodox,KILLER B,67,70
168,James Bochnovic," Feb 13, 1989", 8-3-0,205,Orthodox,,76,81
169,Tim Boetsch," Jan 28, 1981", 21-13-0,185,Orthodox,THE BARBARIAN,72,74
170,Galore Bofando," May 22, 1982", 5-3-0,170,Switch,,71,72
171,Roman Bogatov," Dec 15, 1990", 10-1-0,155,Orthodox,,68,73
172,Stephan Bonnar," Apr 04, 1977", 15-9-0,205,Orthodox,THE AMERICAN PSYCHO,76,79
173,Rogerio Bontorin," Apr 25, 1992", 17-3-0 (1 NC),125,Orthodox,,65,67
174,Ray Borg," Aug 04, 1993", 13-5-0,135,Orthodox,THE TAZMEXICAN DEVIL,64,63
175,Calen Born," May 24, 1988", 7-1-0,170,Switch,,68,72
176,Tanner Boser," Aug 02, 1991", 20-8-1,255,Orthodox,THE BULLDOZER,74,75
177,Steve Bosse," Jul 29, 1981", 12-2-0,205,Orthodox,THE BOSS,71,72
178,Poliana Botelho," Dec 15, 1988", 8-4-0,115,Orthodox,,68,67
179,Kyron Bowen," Dec 22, 1993", 9-5-0,185,Orthodox,BULLSEYE,75,73
180,Brian Bowles," Jun 22, 1980", 10-3-0,135,Orthodox,,67,70
181,Roger Bowling," Dec 05, 1982", 12-6-0 (1 NC),155,Orthodox,RELENTLESS,69,68
182,Kyle Bradley," Aug 19, 1982", 19-12-0 (1 NC),155,Orthodox,,69,71
183,Sean Brady," Nov 23, 1992", 14-0-0,170,Orthodox,,70,72
184,Ramiz Brahimaj," Nov 17, 1992", 8-3-0,170,Orthodox,,70,72
185,David Branch," Sep 26, 1981", 22-6-0,185,Orthodox,,73,78
186,Diego Brandao," May 27, 1987", 22-11-0,145,Orthodox,DB,67,64
187,Martin Bravo," Sep 21, 1993", 11-3-0,145,Southpaw,EL TORO,68,71
188,Mike Breeden," Apr 21, 1989", 8-3-0,155,Orthodox,MONEY,70,70
189,Tom Breese," Sep 26, 1991", 12-3-0,185,Southpaw,,75,73
190,Charlie Brenneman," Feb 09, 1981", 19-8-0,155,Orthodox,THE SPANIARD,70,70
191,Marcos Brigagao," Apr 01, 1996", 11-1-0,205,Southpaw,IRONSIDE,75,76
192,Jason Brilz," Jul 07, 1975", 22-6-1,205,Orthodox,HITMAN,71,71
193,Marcus Brimage," Apr 06, 1985", 7-7-0,135,Southpaw,THE BAMA BEAST,64,71
194,Henry Briones," Oct 22, 1980", 16-8-1,135,Orthodox,BURE,68,69
195,Antwain Britt," May 09, 1978", 11-6-0,205,Unknown,THE JUGGERNAUT,73,77
196,Jonathan Brookins," Aug 13, 1985", 16-10-0,145,Southpaw,,72,74
197,Will Brooks," Oct 08, 1986", 18-4-0,155,Orthodox,ILL,70,72
198,Jarred Brooks," May 02, 1993", 13-2-0,125,Switch,THE MONKEY GOD,63,62
199,Rob Broughton," Mar 03, 1983", 16-7-1,265,Orthodox,THE BEAR,74,74
200,Matt Brown," Jan 10, 1981", 25-18-0,170,Orthodox,THE IMMORTAL,72,75
201,Mike Brown," Sep 08, 1975", 26-9-0,145,Orthodox,,66,70
202,Randy Brown," Jul 08, 1990", 13-4-0,170,Orthodox,RUDEBOY,75,78
203,Damien Brown," Dec 25, 1984", 17-12-0,155,Orthodox,BEATDOWN,70,68
204,TJ Brown," May 22, 1990", 15-8-0,145,Switch,DOWNTOWN,69,72
205,Travis Browne," Jul 17, 1982", 18-7-1,255,Orthodox,HAPA,78,79
206,Cody Brundage," May 16, 1994", 5-1-0,205,Orthodox,,72,72
207,Derek Brunson," Jan 04, 1984", 22-7-0,185,Southpaw,,73,77
208,Justin Buchholz," Aug 22, 1983", 15-10-0,155,Orthodox,,72,73
209,Joaquin Buckley," Apr 27, 1994", 12-4-0,185,Southpaw,NEW MANSA,70,76
210,Julia Budd," Jul 04, 1983", 10-2-0,145,Unknown,,67,67
211,Mike Budnik," Aug 08, 1974", 13-4-0,145,Orthodox,,69,68
212,Mayra Bueno Silva," Aug 22, 1991", 7-1-1,135,Orthodox,SHEETARA,66,66
213,Paul Buentello," Jan 16, 1974", 35-17-0,245,Orthodox,THE HEADHUNTER,74,77
214,Modestas Bukauskas," Feb 10, 1994", 11-4-0,205,Switch,THE BALTIC GLADIATOR,75,78
215,Wuliji Buren," Mar 01, 1989", 9-6-0,135,Orthodox,BEAST MASTER,69,69
216,Shane Burgos," Mar 19, 1991", 13-3-0,145,Orthodox,HURRICANE,71,75
217,Joshua Burkman," Apr 10, 1980", 28-16-0 (1 NC),170,Orthodox,THE PEOPLE'S WARRIOR,70,72
218,Mads Burnell," Mar 06, 1994", 9-3-0,145,Orthodox,,68,69
219,Kevin Burns," Mar 03, 1980", 12-7-0,170,Orthodox,THE FIRE,70,74
220,Gilbert Burns," Jul 20, 1986", 20-4-0,170,Orthodox,DURINHO,70,71
221,Herbert Burns," Feb 02, 1988", 11-3-0,145,Orthodox,THE BLAZE,69,73
222,Dakota Bush," Jun 09, 1994", 8-3-0,155,Orthodox,,70,73
223,JP Buys," Apr 30, 1996", 9-3-0,125,Orthodox,,65,67
224,Cheyanne Buys," Jun 25, 1995", 6-2-0,115,Switch,,63,63
225,Dennis Buzukja," Oct 01, 1997", 4-2-0,145,Switch,THE GREAT,69,71
226,Charles Byrd," Oct 11, 1983", 10-7-0,185,Orthodox,KID DYNAMITE,70,73
227,Yan Cabral," May 13, 1983", 13-3-0,155,Orthodox,,71,73
228,Alex Caceres," Jun 20, 1988", 18-12-0 (1 NC),145,Southpaw,BRUCE LEEROY,70,73
229,Vince Cachero," Nov 07, 1989", 7-4-0,145,Orthodox,THE ANOMALY,66,68
230,Priscila Cachoeira," Aug 19, 1988", 10-3-0,135,Orthodox,ZOMBIE GIRL,67,65
231,Joanne Calderwood," Dec 23, 1985", 15-6-0,125,Orthodox,JOJO,66,65
232,Cynthia Calvillo," Jul 13, 1987", 9-2-1,125,Orthodox,,64,64
233,Frank Camacho," May 18, 1989", 22-9-0,170,Orthodox,THE CRANK,70,73
234,Fabricio Camoes," Dec 23, 1978", 14-9-1,155,Orthodox,MORANGO,70,71
235,Chris Camozzi," Nov 20, 1986", 24-13-0,185,Orthodox,,74,75
236,Brian Camozzi," Jun 24, 1991", 7-5-0,170,Orthodox,MANTIS,74,78
237,Shane Campbell," Jan 21, 1987", 14-6-0,155,Orthodox,SHAOLIN,72,71
238,Will Campuzano," May 27, 1986", 14-6-0,125,Orthodox,,69,70
239,Aleksa Camur," Sep 25, 1995", 6-2-0,205,Orthodox,,73,74
240,Chico Camus," Jan 26, 1985", 17-7-0 (1 NC),125,Orthodox,THE KING,66,66
241,Carlos Candelario," Jun 04, 1991", 6-0-0,125,Southpaw,THE CANNON,68,67
242,Luiz Cane," Apr 24, 1981", 17-7-0 (1 NC),185,Southpaw,BANHA,74,77
243,Guido Cannetti," Dec 19, 1979", 8-6-0,135,Southpaw,NINJA,66,68
244,Jared Cannonier," Mar 16, 1984", 13-5-0,185,Switch,THE KILLA GORILLA,71,77
245,Steve Cantwell," Dec 08, 1986", 7-6-0,185,Orthodox,THE ROBOT,74,75
246,Phil Caracappa," Jun 05, 1992", 6-1-0,135,Orthodox,THE HITMAN,68,70
247,Bryan Caraway," Aug 04, 1984", 21-9-0,135,Orthodox,KID LIGHTNING,68,68
248,Chris Cariaso," May 27, 1981", 17-8-0,125,Southpaw,KAMIKAZE,63,64
249,Antonio Carlos Junior," Mar 16, 1990", 11-5-0 (1 NC),185,Orthodox,CARA DE SAPATO,74,79
250,Spike Carlyle," May 06, 1993", 9-3-0,145,Switch,ALPHA GINGER,68,71
251,Francis Carmont," Oct 11, 1981", 25-12-0,205,Orthodox,LIMITLESS,75,78
252,Liz Carmouche," Feb 19, 1984", 13-7-0,125,Orthodox,GIRLRILLA,66,66
253,Roan Carneiro," Jun 02, 1978", 21-11-0,170,Orthodox,JUCAO,71,76
254,Ariane Carnelossi," Nov 17, 1992", 13-2-0,115,Orthodox,SORRISO,62,61
255,Luana Carolina," Jun 11, 1993", 7-2-0,125,Orthodox,DREAD,66,69
256,Antonio Carvalho," May 30, 1979", 15-6-0,145,Orthodox,PATO,69,70
257,Shane Carwin," Jan 04, 1975", 12-2-0,265,Orthodox,THE ENGINEER,74,80
258,Johnny Case," Jun 28, 1989", 22-6-0,155,Orthodox,HOLLYWOOD,70,72
259,Kevin Casey," Jun 15, 1981", 9-5-2 (2 NC),185,Southpaw,KING,71,77
260,Cortney Casey," May 05, 1987", 9-9-0,125,Orthodox,CAST IRON,67,67
261,John Castaneda," Dec 18, 1991", 18-5-0,135,Switch,SEXY MEXI,66,71
262,Danny Castillo," Aug 25, 1979", 17-10-0,155,Orthodox,LAST CALL,69,71
263,Nick Catone," Sep 01, 1981", 10-4-0,185,Southpaw,THE JERSEY DEVIL,72,72
264,Gesias Cavalcante," Jul 06, 1983", 21-10-1 (2 NC),155,Orthodox,JZ,68,71
265,Rafael Cavalcante," Apr 14, 1980", 12-7-0 (1 NC),205,Orthodox,FEIJAO,73,74
266,Magnus Cedenblad," Apr 10, 1982", 14-5-0,185,Orthodox,JYCKEN,77,79
267,Yosdenis Cedeno," Feb 12, 1985", 10-6-1,155,Orthodox,PINK PANTHER,68,69
268,Henry Cejudo," Feb 09, 1987", 16-2-0,135,Orthodox,THE MESSENGER,64,64
269,Donald Cerrone," Mar 29, 1983", 36-16-0 (2 NC),170,Orthodox,COWBOY,73,73
270,Luan Chagas," Jun 17, 1993", 15-3-1,170,Orthodox,TARZAN,72,75
271,Alex Chambers," Oct 25, 1978", 5-5-0,115,Southpaw,ASTRO GIRL,63,63
272,Michael Chandler," Apr 24, 1986", 22-6-0,155,Orthodox,IRON,68,71
273,Ernest Chavez," Jun 27, 1983", 10-2-0,145,Orthodox,EJ,68,70
274,Danny Chavez," Mar 14, 1987", 11-4-1,145,Orthodox,THE COLOMBIAN WARRIOR,68,67
275,Mark Cherico," May 12, 1986", 11-1-0,145,Orthodox,THE PRIDE OF BLOOMFIELD,67,69
276,Macy Chiasson," Jul 27, 1991", 8-1-0,135,Orthodox,,71,72
277,Michael Chiesa," Dec 07, 1987", 18-4-0,170,Southpaw,MAVERICK,73,75
278,Giga Chikadze," Aug 25, 1988", 13-2-0,145,Orthodox,,72,74
279,Khamzat Chimaev," May 01, 1994", 9-0-0,170,Orthodox,BORZ,74,75
280,Dooho Choi," Apr 10, 1991", 14-4-0,145,Orthodox,THE KOREAN SUPERBOY,70,70
281,SeungWoo Choi," Nov 03, 1992", 10-3-0,145,Orthodox,STING,72,74
282,John Cholish," Dec 17, 1983", 8-3-0,155,Orthodox,,71,74
283,Ryo Chonan," Oct 08, 1976", 22-13-0,170,Orthodox,PIRANAH,69,70
284,Katlyn Chookagian," Dec 28, 1988", 16-4-0,125,Orthodox,BLONDE FIGHTER,69,68
285,Joachim Christensen," Nov 07, 1978", 14-6-0,205,Orthodox,,75,76
286,Cameron Church," Sep 27, 1990", 4-1-0,155,Orthodox,,71,72
287,Hannah Cifers," Jun 26, 1992", 10-7-0,115,Orthodox,SHOCKWAVE,61,62
288,Misha Cirkunov," Feb 27, 1987", 15-6-0,205,Orthodox,,75,77
289,Heather Clark," Sep 19, 1980", 7-6-0,115,Orthodox,HURRICANE,66,64
290,Devin Clark," Apr 12, 1990", 12-5-0,205,Orthodox,BROWN BEAR,72,75
291,Jessica-Rose Clark," Nov 28, 1987", 10-6-0 (1 NC),125,Orthodox,,65,64
292,Mitch Clarke," Nov 24, 1985", 11-5-0,155,Orthodox,DANGER ZONE,70,73
293,Rich Clementi," Mar 31, 1976", 45-23-1,155,Southpaw,NO LOVE,69,72
294,Chris Clements," Feb 09, 1976", 12-6-0 (1 NC),170,Orthodox,THE MENACE,70,70
295,Marloes Coenen," Mar 31, 1981", 23-8-0,145,Unknown,,69,67
296,Felipe Colares," Mar 31, 1994", 10-2-0,135,Orthodox,CABOCAO,68,69
297,Mark Coleman," Dec 20, 1964", 16-10-0,205,Orthodox,THE HAMMER,73,75
298,Clay Collard," Mar 10, 1993", 14-7-0 (1 NC),145,Orthodox,CASSIUS,71,73
